Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
36,Blake Griffin,33.0,BOS,C,41.0,16.0,13.9,1.5,3.2,0.485,0.6,1.6,0.348,1.0,1.6,0.625,0.573,0.5,0.8,0.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1,,griffbl01
37,Blake Wesley,19.0,SAS,SG,37.0,1.0,18.1,1.9,5.8,0.321,0.5,1.4,0.385,1.3,4.4,0.301,0.367,0.7,1.2,0.591,0.3,1.9,2.2,2.6,0.7,0.1,1.8,1.8,5.0,,weslebl01
38,Boban Marjanović,34.0,HOU,C,31.0,0.0,5.5,1.3,1.9,0.683,0.0,0.0,0.0,1.3,1.9,0.695,0.683,0.6,0.9,0.741,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,3.3,,marjabo01
39,Bobby Portis,27.0,MIL,PF,70.0,22.0,26.0,5.7,11.5,0.496,1.4,3.7,0.37,4.3,7.8,0.555,0.555,1.4,1.8,0.768,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6,14.1,6MOY-3,portibo01
40,Bogdan Bogdanović,30.0,ATL,SG,54.0,9.0,27.9,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,0.566,1.2,1.4,0.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,,bogdabo01
41,Bojan Bogdanović,33.0,DET,PF,59.0,59.0,32.1,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,0.57,4.5,5.1,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,,bogdabo02
42,Bol Bol,23.0,ORL,PF,70.0,33.0,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,,bolbo01
43,Bones Hyland,22.0,2TM,PG,56.0,1.0,19.4,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,0.502,1.5,1.8,0.843,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,,hylanbo01
44,Bones Hyland,22.0,LAC,PG,14.0,0.0,18.9,3.9,9.8,0.401,1.9,5.3,0.351,2.1,4.5,0.46,0.496,1.1,1.4,0.75,0.7,2.8,3.5,3.4,0.8,0.1,1.1,2.1,10.8,,hylanbo01
45,Bones Hyland,22.0,DEN,PG,42.0,1.0,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2.0,4.6,0.425,0.503,1.7,2.0,0.866,0.2,1.8,2.0,3.0,0.7,0.3,1.6,1.6,12.1,,hylanbo01
46,Bradley Beal,29.0,WAS,SG,50.0,50.0,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,,bealbr01
47,Brandon Boston Jr.,21.0,LAC,SF,22.0,1.0,11.3,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,0.467,1.3,1.7,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.5,1.0,6.5,,bostobr01
48,Brandon Clarke,26.0,MEM,PF,56.0,8.0,19.5,4.1,6.2,0.656,0.0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0,,clarkbr01
49,Brandon Ingram,25.0,NOP,SF,45.0,45.0,34.2,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,0.522,5.3,6.0,0.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,2.6,24.7,,ingrabr01
50,Braxton Key,25.0,DET,SF,3.0,0.0,3.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,,keybr01
51,Brook Lopez,34.0,MIL,C,78.0,78.0,30.4,6.1,11.5,0.531,1.7,4.7,0.374,4.4,6.9,0.637,0.606,1.9,2.4,0.784,2.0,4.7,6.7,1.3,0.5,2.5,1.4,2.6,15.9,DPOY-2,lopezbr01
52,Bruce Brown,26.0,DEN,SF,80.0,31.0,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,,brownbr01
53,Bruno Fernando,24.0,HOU,C,31.0,4.0,11.7,1.5,3.0,0.516,0.0,0.0,0.0,1.5,3.0,0.522,0.516,1.0,1.4,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1,,fernabr01
54,Bruno Fernando,24.0,ATL,C,8.0,0.0,5.1,1.4,2.4,0.579,0.0,0.4,0.0,1.4,2.0,0.688,0.579,0.6,0.8,0.833,0.8,1.1,1.9,0.1,0.0,0.4,0.6,0.8,3.4,,fernabr01
55,Bruno Fernando,24.0,2TM,C,39.0,4.0,10.4,1.5,2.9,0.527,0.0,0.1,0.0,1.5,2.8,0.546,0.527,0.9,1.3,0.7,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,,fernabr01
56,Bryce McGowens,20.0,CHO,SG,46.0,7.0,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,0.46,1.3,1.7,0.75,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,5.3,,mcgowbr01
57,Bryn Forbes,29.0,MIN,SG,25.0,0.0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,,forbebr01
58,Buddy Boeheim,23.0,DET,SF,10.0,0.0,9.0,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.259,0.2,0.2,1.0,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,,boehebu01
59,Buddy Hield,30.0,IND,SF,80.0,73.0,31.0,5.9,13.0,0.458,3.6,8.5,0.425,2.3,4.5,0.518,0.596,1.3,1.6,0.822,0.8,4.2,5.0,2.8,1.2,0.3,1.7,2.0,16.8,,hieldbu01
