Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
169,Dru Smith,25.0,MIA,SG,5.0,1.0,67.0,7.1,0.393,0.429,0.0,1.7,14.5,7.9,10.1,3.0,4.6,6.7,9.9,0.0,0.1,0.1,0.053,-6.3,3.1,-3.1,0.0,,smithdr01
170,Duane Washington Jr.,22.0,PHO,SG,31.0,3.0,394.0,9.3,0.458,0.434,0.094,0.6,9.8,5.1,25.2,0.7,0.9,11.3,32.5,-0.8,0.3,-0.5,-0.065,-1.8,-2.8,-4.6,-0.3,,washidu02
171,Duncan Robinson,28.0,MIA,SF,42.0,1.0,691.0,7.8,0.534,0.81,0.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,0.035,-3.5,-1.5,-5.0,-0.5,,robindu01
172,Dwight Powell,31.0,DAL,C,76.0,64.0,1458.0,15.5,0.738,0.019,0.625,11.8,13.3,12.5,6.9,1.6,1.6,15.9,12.6,3.8,1.3,5.1,0.168,-1.2,0.0,-1.2,0.3,,poweldw01
173,Dylan Windler,26.0,CLE,SF,3.0,0.0,10.0,19.0,0.833,0.667,0.0,0.0,0.0,0.0,15.2,5.0,0.0,25.0,17.9,0.0,0.0,0.0,0.149,3.2,3.5,6.7,0.0,,windldy01
174,Dyson Daniels,19.0,NOP,PG,59.0,11.0,1042.0,8.8,0.503,0.413,0.192,3.9,16.5,10.2,16.4,2.0,1.0,20.2,11.6,-0.1,1.4,1.3,0.061,-3.4,1.6,-1.8,0.0,,daniedy01
175,Dāvis Bertāns,30.0,DAL,PF,45.0,1.0,492.0,11.9,0.618,0.881,0.094,2.3,10.3,6.3,6.2,1.1,1.5,5.7,16.2,0.6,0.3,0.9,0.09,0.0,-1.3,-1.2,0.1,,bertada01
176,Edmond Sumner,27.0,BRK,SG,53.0,12.0,736.0,14.0,0.597,0.323,0.401,2.0,9.9,6.0,13.3,2.1,1.2,13.6,22.1,0.6,0.7,1.3,0.086,-2.4,-0.2,-2.6,-0.1,,sumneed01
177,Eric Gordon,34.0,HOU,SG,47.0,47.0,1418.0,11.4,0.572,0.513,0.282,0.9,6.7,3.8,13.8,1.0,1.2,13.4,18.1,1.0,0.1,1.1,0.037,-0.9,-1.7,-2.6,-0.2,,gordoer01
178,Eric Gordon,34.0,2TM,SG,69.0,58.0,1965.0,11.8,0.587,0.545,0.265,0.9,6.7,3.8,13.4,1.1,1.2,12.5,17.8,1.8,0.5,2.3,0.056,-0.5,-1.4,-1.9,0.1,,gordoer01
179,Eric Gordon,34.0,LAC,SG,22.0,11.0,547.0,13.1,0.629,0.634,0.217,0.8,6.7,3.8,12.2,1.2,1.3,9.9,17.0,0.8,0.4,1.2,0.105,0.5,-0.5,0.0,0.3,,gordoer01
180,Eugene Omoruyi,25.0,DET,SF,17.0,4.0,373.0,11.2,0.533,0.433,0.351,6.1,11.6,8.8,6.8,1.8,0.7,10.4,19.7,0.1,0.2,0.3,0.034,-2.9,-1.2,-4.1,-0.2,,omorueu01
181,Eugene Omoruyi,25.0,2TM,SF,40.0,6.0,645.0,10.9,0.533,0.39,0.329,7.1,11.8,9.4,6.3,2.1,0.4,11.5,19.3,0.1,0.5,0.6,0.042,-3.5,-0.9,-4.4,-0.4,,omorueu01
182,Eugene Omoruyi,25.0,OKC,SF,23.0,2.0,272.0,10.6,0.531,0.33,0.298,8.5,12.1,10.3,5.6,2.4,0.0,13.1,18.8,0.0,0.3,0.3,0.052,-4.4,-0.5,-4.9,-0.2,,omorueu01
183,Evan Fournier,30.0,NYK,SG,27.0,7.0,459.0,6.9,0.471,0.687,0.127,1.0,10.8,5.9,10.6,1.7,0.6,11.2,18.4,-0.3,0.4,0.1,0.01,-4.0,0.0,-4.0,-0.2,,fournev01
184,Evan Mobley,21.0,CLE,PF,79.0,79.0,2715.0,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,DPOY-3,mobleev01
185,Facundo Campazzo,31.0,DAL,PG,8.0,0.0,52.0,7.8,0.36,0.846,0.154,0.0,4.5,2.2,22.6,5.7,0.0,17.8,14.7,-0.1,0.1,0.0,-0.012,-4.8,3.6,-1.2,0.0,,campafa01
186,Frank Jackson,24.0,UTA,PG,1.0,0.0,5.0,-6.8,0.0,0.333,0.0,21.9,21.3,21.6,22.7,0.0,0.0,0.0,25.1,0.0,0.0,0.0,-0.378,-12.5,-9.8,-22.2,0.0,,jacksfr01
187,Frank Kaminsky,29.0,2TM,C,36.0,0.0,235.0,15.3,0.635,0.524,0.254,3.2,21.2,12.1,17.8,1.2,1.6,11.4,14.1,0.5,0.2,0.7,0.141,1.2,1.7,2.8,0.3,,kaminfr01
188,Frank Kaminsky,29.0,HOU,C,10.0,0.0,59.0,16.6,0.434,0.526,0.211,7.4,22.6,14.9,25.2,0.8,5.0,0.0,14.6,0.1,0.0,0.2,0.122,2.5,1.2,3.7,0.1,,kaminfr01
189,Frank Kaminsky,29.0,ATL,C,26.0,0.0,176.0,14.9,0.72,0.523,0.273,1.8,20.8,11.2,15.3,1.4,0.5,15.4,13.9,0.4,0.2,0.5,0.148,0.7,1.8,2.6,0.2,,kaminfr01
190,Frank Ntilikina,24.0,DAL,SG,47.0,5.0,607.0,5.2,0.461,0.508,0.25,1.3,10.7,5.9,12.8,1.3,1.0,16.5,13.1,-0.5,0.4,-0.1,-0.01,-6.1,-0.7,-6.7,-0.7,,ntilila01
191,Franz Wagner,21.0,ORL,SF,80.0,80.0,2609.0,15.9,0.589,0.322,0.288,3.0,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,0.099,0.4,-0.5,-0.1,1.3,,wagnefr01
192,Fred VanVleet,28.0,TOR,PG,69.0,69.0,2535.0,17.0,0.54,0.545,0.254,1.2,12.0,6.3,28.1,2.4,1.5,10.2,23.2,3.7,2.8,6.5,0.123,2.0,0.5,2.5,2.9,,vanvlfr01
193,Furkan Korkmaz,25.0,PHI,SG,37.0,0.0,353.0,9.3,0.552,0.414,0.324,2.0,11.8,7.0,8.8,1.4,0.8,15.9,19.1,-0.2,0.3,0.1,0.019,-3.3,-1.0,-4.4,-0.2,,korkmfu01
194,Gabe Vincent,26.0,MIA,PG,68.0,34.0,1759.0,9.0,0.533,0.617,0.138,1.7,8.1,4.8,13.9,1.8,0.3,13.3,17.5,-0.3,1.7,1.4,0.038,-3.1,-0.3,-3.4,-0.6,,vincega01
195,Gabe York,29.0,IND,SG,3.0,0.0,56.0,11.8,0.548,0.857,0.095,0.0,11.9,5.9,12.3,1.7,0.0,0.0,16.4,0.1,0.0,0.1,0.091,-1.7,-1.8,-3.5,0.0,,yorkga01
196,Garrett Temple,36.0,NOP,SG,25.0,0.0,162.0,10.5,0.535,0.578,0.089,3.5,8.4,5.9,10.6,2.7,1.2,7.9,13.4,0.1,0.2,0.3,0.094,-2.5,1.6,-1.0,0.0,,templga01
197,Garrison Mathews,26.0,ATL,SG,9.0,0.0,84.0,14.0,0.623,0.806,0.258,1.3,13.2,7.2,4.7,0.6,1.0,2.8,17.8,0.2,0.0,0.2,0.127,0.7,-2.4,-1.7,0.0,,mathega01
198,Garrison Mathews,26.0,HOU,SG,45.0,0.0,602.0,9.1,0.564,0.912,0.265,1.8,9.6,5.7,5.1,1.9,0.6,8.7,14.3,0.5,0.2,0.7,0.058,-2.3,-0.2,-2.5,-0.1,,mathega01
199,Garrison Mathews,26.0,2TM,SG,54.0,0.0,686.0,9.7,0.573,0.896,0.264,1.7,10.0,5.8,5.1,1.7,0.7,7.8,14.7,0.7,0.3,1.0,0.067,-2.0,-0.4,-2.4,-0.1,,mathega01
200,Gary Harris,28.0,ORL,SG,48.0,42.0,1184.0,10.5,0.62,0.71,0.098,2.0,7.4,4.7,6.9,1.8,1.0,8.0,12.6,1.3,1.1,2.3,0.095,-1.4,0.7,-0.7,0.4,,harriga01
201,Gary Payton II,30.0,POR,SG,15.0,1.0,255.0,11.3,0.713,0.415,0.098,4.5,13.2,8.8,11.6,3.1,0.3,21.9,9.3,0.3,0.2,0.5,0.097,-2.0,1.4,-0.6,0.1,,paytoga02
202,Gary Payton II,30.0,GSW,SG,7.0,0.0,112.0,17.7,0.682,0.321,0.107,14.0,15.4,14.7,9.6,2.5,3.1,12.0,12.5,0.3,0.2,0.4,0.191,0.5,1.9,2.4,0.1,,paytoga02
203,Gary Payton II,30.0,2TM,SG,22.0,1.0,367.0,13.3,0.701,0.377,0.101,7.4,13.9,10.6,11.0,2.9,1.2,18.2,10.3,0.6,0.4,1.0,0.125,-1.2,1.5,0.3,0.2,,paytoga02
204,Gary Trent Jr.,24.0,TOR,SG,66.0,44.0,2118.0,15.0,0.56,0.481,0.219,1.5,8.2,4.6,7.4,2.4,0.6,5.1,21.7,2.5,2.0,4.5,0.102,0.2,0.0,0.2,1.2,,trentga02
205,George Hill,36.0,IND,SG,11.0,1.0,166.0,14.1,0.751,0.618,0.265,1.3,10.7,6.0,16.7,2.0,1.6,15.6,11.4,0.4,0.1,0.5,0.136,-0.6,0.0,-0.6,0.1,,hillge01
206,George Hill,36.0,MIL,PG,35.0,0.0,668.0,9.8,0.575,0.561,0.348,2.1,8.1,5.2,16.8,1.4,0.4,15.1,11.3,0.7,0.7,1.4,0.1,-2.8,1.2,-1.7,0.0,,hillge01
