Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
253,Jake LaRavia,21.0,MEM,PF,35.0,0.0,414.0,6.7,0.531,0.747,0.095,4.9,11.3,8.1,6.2,1.4,0.9,15.4,11.7,0.0,0.5,0.5,0.054,-3.9,0.4,-3.5,-0.2,,laravja01
254,Jakob Poeltl,27.0,TOR,C,26.0,25.0,707.0,23.1,0.652,0.0,0.313,12.5,26.4,19.0,12.1,2.1,4.7,10.0,17.5,1.9,1.2,3.1,0.209,2.2,1.5,3.6,1.0,,poeltja01
255,Jakob Poeltl,27.0,2TM,C,72.0,71.0,1906.0,21.0,0.635,0.002,0.325,13.0,25.5,19.0,15.2,1.7,4.0,15.0,18.2,3.7,2.2,6.0,0.15,1.1,0.8,1.9,1.9,,poeltja01
256,Jakob Poeltl,27.0,SAS,C,46.0,46.0,1199.0,19.7,0.625,0.003,0.332,13.3,25.0,18.9,17.0,1.4,3.6,17.8,18.6,1.8,1.1,2.9,0.115,0.5,0.4,0.9,0.9,,poeltja01
257,Jalen Brunson,26.0,NYK,PG,68.0,68.0,2379.0,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,6.9,1.8,8.7,0.175,4.4,-0.5,3.9,3.5,MVP-12CPOY-4,brunsja01
258,Jalen Duren,19.0,DET,C,67.0,31.0,1670.0,17.3,0.655,0.005,0.394,14.7,25.1,19.7,6.8,1.3,3.1,16.5,14.3,2.9,1.6,4.5,0.129,-0.4,-0.4,-0.8,0.5,,durenja01
259,Jalen Green,20.0,HOU,SG,76.0,76.0,2602.0,14.5,0.538,0.408,0.341,1.8,10.3,6.0,17.3,1.1,0.7,11.3,28.1,1.4,0.5,1.8,0.034,0.5,-2.6,-2.1,0.0,,greenja05
260,Jalen Johnson,21.0,ATL,SF,70.0,6.0,1042.0,14.1,0.554,0.323,0.242,5.3,24.6,14.8,10.4,1.7,2.8,10.3,16.0,0.8,1.3,2.1,0.099,-1.2,1.5,0.3,0.6,,johnsja05
261,Jalen McDaniels,25.0,PHI,SF,24.0,3.0,419.0,12.5,0.58,0.244,0.276,5.5,15.8,10.7,6.5,2.0,1.1,8.6,16.1,0.4,0.5,1.0,0.109,-2.5,-0.1,-2.6,-0.1,,mcdanja01
262,Jalen McDaniels,25.0,CHO,SF,56.0,21.0,1494.0,11.6,0.551,0.409,0.211,3.1,16.5,9.6,10.5,2.1,1.7,12.9,17.5,0.1,1.7,1.8,0.057,-2.7,0.7,-2.0,0.0,,mcdanja01
263,Jalen McDaniels,25.0,2TM,SF,80.0,24.0,1913.0,11.8,0.557,0.376,0.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,0.068,-2.7,0.6,-2.1,-0.1,,mcdanja01
264,Jalen Smith,22.0,IND,C,68.0,31.0,1279.0,15.9,0.565,0.376,0.27,11.2,22.9,17.1,7.6,0.8,4.0,11.2,21.0,1.1,1.1,2.3,0.085,-0.9,-1.1,-2.1,0.0,,smithja04
265,Jalen Suggs,21.0,ORL,SG,53.0,19.0,1246.0,12.5,0.528,0.455,0.268,5.0,9.6,7.3,18.0,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,0.053,-1.8,0.8,-1.0,0.3,,suggsja01
266,Jalen Williams,21.0,OKC,SG,75.0,62.0,2276.0,15.6,0.601,0.258,0.241,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3.0,2.6,5.6,0.119,-0.4,0.7,0.3,1.3,ROY-2,willija06
267,Jamal Cain,23.0,MIA,PF,18.0,0.0,240.0,16.5,0.647,0.303,0.333,7.1,18.7,12.7,7.6,2.3,0.4,7.3,15.1,0.5,0.3,0.8,0.169,-0.5,1.3,0.8,0.2,,cainja01
268,Jamal Murray,25.0,DEN,PG,65.0,65.0,2133.0,18.0,0.571,0.415,0.207,2.7,11.0,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,,murraja01
269,Jamaree Bouyea,23.0,MIA,PG,4.0,0.0,65.0,7.8,0.54,0.385,0.154,1.7,7.5,4.5,8.6,3.1,3.1,22.4,12.2,-0.1,0.1,0.0,0.029,-4.9,1.9,-2.9,0.0,,bouyeja01
270,Jamaree Bouyea,23.0,2TM,PG,5.0,0.0,71.0,6.5,0.504,0.429,0.143,1.6,8.4,4.9,7.8,2.8,2.9,21.2,11.8,-0.1,0.1,0.0,0.013,-5.8,1.6,-4.2,0.0,,bouyeja01
271,Jamaree Bouyea,23.0,WAS,PG,1.0,0.0,6.0,-6.9,0.0,1.0,0.0,0.0,17.9,9.3,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,-0.15,-16.1,-1.7,-17.8,0.0,,bouyeja01
272,James Bouknight,22.0,CHO,SG,34.0,0.0,515.0,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.04,-5.4,-1.1,-6.5,-0.6,,bouknja01
273,James Harden,33.0,PHI,PG,58.0,58.0,2135.0,21.6,0.607,0.496,0.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25.0,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4.0,,hardeja01
274,James Johnson,35.0,IND,PF,18.0,1.0,162.0,8.4,0.486,0.306,0.163,2.7,17.8,10.3,12.6,2.1,3.2,13.2,15.7,-0.1,0.2,0.1,0.017,-5.7,1.2,-4.4,-0.1,,johnsja01
275,James Wiseman,21.0,2TM,C,45.0,22.0,867.0,15.6,0.589,0.059,0.286,9.2,25.2,17.0,5.5,0.4,2.7,11.8,21.2,0.7,0.7,1.4,0.077,-2.1,-1.4,-3.5,-0.3,,wisemja01
276,James Wiseman,21.0,GSW,C,21.0,0.0,262.0,17.1,0.655,0.021,0.404,7.7,22.7,15.3,8.0,0.5,2.4,11.2,20.0,0.5,0.3,0.8,0.144,-1.3,-0.5,-1.7,0.0,,wisemja01
277,James Wiseman,21.0,DET,C,24.0,22.0,605.0,15.0,0.563,0.073,0.241,9.8,26.3,17.8,4.4,0.3,2.9,12.0,21.7,0.2,0.4,0.6,0.049,-2.5,-1.8,-4.3,-0.4,,wisemja01
278,Jared Butler,22.0,OKC,PG,6.0,1.0,77.0,13.0,0.578,0.438,0.0,1.4,4.3,2.8,15.0,3.1,0.0,13.5,20.1,0.0,0.1,0.1,0.061,-2.2,-0.4,-2.6,0.0,,butleja02
279,Jared Rhoden,23.0,DET,SG,14.0,0.0,198.0,6.5,0.482,0.455,0.136,6.0,15.0,10.4,2.8,1.0,0.4,6.0,10.7,0.0,0.1,0.1,0.027,-5.0,-1.1,-6.1,-0.2,,rhodeja01
280,Jaren Jackson Jr.,23.0,MEM,C,63.0,63.0,1787.0,21.6,0.613,0.343,0.372,6.4,18.8,12.6,5.0,1.7,9.6,10.1,24.7,2.8,3.8,6.6,0.177,0.7,2.0,2.8,2.2,DPOY-1AS,jacksja02
281,Jarred Vanderbilt,23.0,LAL,PF,26.0,24.0,625.0,13.2,0.598,0.236,0.264,8.7,20.6,14.8,8.8,2.3,0.8,15.7,12.5,0.6,0.9,1.5,0.118,-1.7,1.9,0.2,0.4,,vandeja01
282,Jarred Vanderbilt,23.0,UTA,PF,52.0,41.0,1254.0,16.0,0.607,0.183,0.328,10.6,24.5,17.6,15.3,2.0,1.0,16.0,14.1,2.1,1.6,3.6,0.139,0.0,1.5,1.5,1.1,,vandeja01
283,Jarred Vanderbilt,23.0,2TM,PF,78.0,65.0,1879.0,15.1,0.604,0.2,0.308,10.0,23.2,16.7,13.1,2.1,0.9,15.9,13.6,2.7,2.5,5.2,0.132,-0.6,1.6,1.1,1.5,,vandeja01
284,Jarrell Brantley,26.0,UTA,PF,4.0,0.0,39.0,18.5,0.739,0.643,0.143,2.8,13.7,8.3,11.4,0.0,4.3,11.8,18.1,0.1,0.0,0.1,0.16,3.1,0.4,3.5,0.1,,brantja01
285,Jarrett Allen,24.0,CLE,C,68.0,68.0,2220.0,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,,allenja01
286,Jarrett Culver,23.0,ATL,SF,10.0,1.0,137.0,9.5,0.452,0.279,0.302,7.9,22.6,15.2,5.5,2.1,1.2,12.6,17.1,-0.1,0.2,0.0,0.014,-4.8,0.6,-4.2,-0.1,,culveja01
287,Jason Preston,23.0,LAC,PG,14.0,0.0,124.0,10.3,0.489,0.439,0.049,1.8,17.9,9.9,30.9,0.8,0.0,19.3,18.3,0.0,0.1,0.1,0.021,-2.1,-0.5,-2.6,0.0,,prestja01
288,Javonte Green,29.0,CHI,SF,32.0,1.0,480.0,14.5,0.646,0.324,0.417,6.5,14.2,10.4,6.4,2.4,4.2,13.5,13.6,0.6,0.8,1.4,0.142,-1.1,2.5,1.4,0.4,,greenja02
289,Jaxson Hayes,22.0,NOP,C,47.0,2.0,610.0,13.7,0.605,0.186,0.532,7.3,17.3,12.3,7.7,1.6,3.0,13.9,15.7,0.6,0.9,1.5,0.118,-2.2,1.0,-1.2,0.1,,hayesja02
290,Jay Huff,24.0,WAS,C,7.0,0.0,95.0,22.3,0.796,0.48,0.64,7.3,16.9,12.3,14.7,1.5,3.6,13.5,16.9,0.4,0.1,0.5,0.261,2.8,1.2,4.0,0.1,,huffja01
291,Jay Scrubb,22.0,ORL,SG,2.0,0.0,30.0,14.2,0.825,0.286,0.286,0.0,22.7,11.3,5.0,3.2,0.0,27.6,15.6,0.0,0.0,0.1,0.083,-2.9,1.0,-1.9,0.0,,scrubja01
292,Jaylen Brown,26.0,BOS,SF,67.0,67.0,2405.0,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,ASNBA2,brownja02
293,Jaylen Nowell,23.0,MIN,SG,65.0,2.0,1252.0,13.7,0.527,0.371,0.158,3.3,11.7,7.6,15.9,1.6,0.3,8.9,25.0,0.0,1.2,1.2,0.046,-1.5,-1.0,-2.5,-0.2,,nowelja01
294,Jaylin Williams,20.0,OKC,C,49.0,36.0,914.0,11.2,0.559,0.483,0.231,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,1.9,0.099,-2.3,0.6,-1.7,0.1,,willija07
295,Jayson Tatum,24.0,BOS,SF,74.0,74.0,2732.0,23.7,0.607,0.44,0.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,MVP-4CPOY-10ASNBA1,tatumja01
296,Jeenathan Williams,23.0,POR,SG,5.0,4.0,127.0,15.5,0.657,0.205,0.077,9.0,4.6,6.8,12.1,1.2,1.4,9.0,15.2,0.3,0.0,0.3,0.12,-1.0,-2.1,-3.0,0.0,,willije02
297,Jeff Dowtin,25.0,TOR,PG,25.0,0.0,259.0,9.9,0.5,0.281,0.158,2.4,8.0,5.0,15.5,1.7,1.1,7.6,10.9,0.2,0.2,0.4,0.076,-2.8,0.9,-1.9,0.0,,dowtije01
298,Jeff Green,36.0,DEN,PF,56.0,4.0,1091.0,11.0,0.576,0.317,0.357,4.1,10.9,7.6,8.3,0.8,1.4,10.8,17.0,0.8,0.8,1.7,0.074,-2.4,-1.0,-3.4,-0.4,,greenje02
299,Jerami Grant,28.0,POR,PF,63.0,63.0,2246.0,16.0,0.606,0.393,0.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1.0,4.1,0.087,1.2,-1.4,-0.2,1.0,,grantje01
300,Jeremiah Robinson-Earl,22.0,OKC,PF,43.0,20.0,814.0,13.0,0.548,0.448,0.169,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,1.9,0.111,-0.8,-0.7,-1.5,0.1,,robinje02
301,Jeremy Sochan,19.0,SAS,PF,56.0,53.0,1458.0,11.4,0.509,0.243,0.21,6.9,15.6,11.0,13.6,1.4,1.3,13.9,19.8,-0.5,0.7,0.2,0.005,-2.8,-1.2,-4.0,-0.7,,sochaje01
302,Jericho Sims,24.0,NYK,C,52.0,16.0,812.0,13.8,0.78,0.009,0.15,13.3,19.4,16.4,4.0,0.9,3.2,19.1,7.4,1.6,0.9,2.6,0.153,-1.0,0.5,-0.5,0.3,,simsje01
303,Jevon Carter,27.0,MIL,PG,81.0,39.0,1810.0,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,,carteje01
304,Jimmy Butler,33.0,MIA,PF,64.0,64.0,2138.0,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,9.4,2.9,12.3,0.277,6.7,2.0,8.7,5.8,MVP-10DPOY-12CPOY-2NBA2,butleji01
305,Jock Landale,27.0,PHO,C,69.0,4.0,979.0,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2,,landajo01
306,Joe Harris,31.0,BRK,SF,74.0,33.0,1527.0,10.6,0.621,0.757,0.064,1.7,10.1,6.0,9.1,1.1,0.7,8.3,14.3,1.5,1.1,2.6,0.083,-0.6,-0.6,-1.1,0.3,,harrijo01
307,Joe Ingles,35.0,MIL,SF,46.0,0.0,1044.0,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,0.107,-1.6,0.8,-0.7,0.3,,inglejo01
308,Joe Wieskamp,23.0,TOR,SF,9.0,0.0,50.0,-0.4,0.321,0.857,0.0,0.0,9.8,4.5,7.4,0.0,0.0,6.7,12.8,-0.1,0.0,-0.1,-0.076,-7.0,-3.6,-10.6,-0.1,,wieskjo01
309,Joel Embiid,28.0,PHI,C,66.0,66.0,2284.0,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,MVP-1DPOY-9CPOY-5ASNBA1,embiijo01
310,John Butler,20.0,POR,C,19.0,1.0,221.0,5.7,0.411,0.66,0.075,1.5,7.3,4.4,6.5,1.5,3.6,1.8,11.0,-0.1,0.1,0.0,0.001,-5.4,-0.8,-6.2,-0.2,,butlejo01
311,John Collins,25.0,ATL,PF,71.0,71.0,2130.0,13.6,0.593,0.339,0.252,3.9,20.0,11.9,5.3,0.9,2.9,9.1,17.1,2.1,2.1,4.2,0.095,-1.4,0.2,-1.3,0.4,,collijo01
312,John Konchar,26.0,MEM,SF,72.0,23.0,1494.0,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9,,konchjo01
313,John Wall,32.0,LAC,PG,34.0,3.0,755.0,13.6,0.498,0.322,0.334,2.1,11.4,6.8,35.3,1.8,1.4,17.1,27.0,-0.4,0.7,0.3,0.02,-0.8,-0.4,-1.2,0.1,,walljo01
314,Johnny Davis,20.0,WAS,SG,28.0,5.0,423.0,7.2,0.446,0.409,0.158,2.7,13.9,8.5,9.2,1.2,1.6,8.5,20.5,-0.6,0.3,-0.3,-0.033,-5.8,-1.7,-7.4,-0.6,,davisjo06
315,Johnny Juzang,21.0,UTA,SG,18.0,0.0,232.0,6.5,0.411,0.606,0.038,3.8,14.3,9.1,4.7,0.8,1.1,2.8,19.6,-0.3,0.1,-0.2,-0.032,-4.3,-2.2,-6.5,-0.3,,juzanjo01
316,Jonas Valančiūnas,30.0,NOP,C,79.0,79.0,1968.0,19.3,0.61,0.134,0.275,13.0,33.3,23.1,11.1,0.5,2.5,14.8,23.4,2.8,3.0,5.8,0.142,0.0,-0.4,-0.4,0.8,,valanjo01
317,Jonathan Isaac,25.0,ORL,PF,11.0,0.0,124.0,20.3,0.483,0.283,0.17,13.7,26.5,20.1,7.3,5.5,3.1,6.6,21.1,0.0,0.3,0.3,0.13,1.0,3.0,4.0,0.2,,isaacjo01
318,Jonathan Kuminga,20.0,GSW,PF,67.0,16.0,1394.0,13.3,0.597,0.294,0.278,5.6,12.5,9.1,12.7,1.4,2.0,14.6,19.6,1.0,1.4,2.4,0.084,-1.7,-0.1,-1.7,0.1,,kuminjo01
319,Jordan Clarkson,30.0,UTA,SG,61.0,61.0,1988.0,14.7,0.558,0.445,0.238,4.0,9.3,6.7,20.9,0.8,0.6,14.0,27.8,0.9,0.8,1.7,0.042,1.0,-2.4,-1.4,0.3,,clarkjo01
320,Jordan Goodwin,24.0,WAS,PG,62.0,7.0,1106.0,14.8,0.531,0.334,0.195,6.0,14.3,10.3,20.8,2.6,2.0,12.9,17.3,0.9,1.3,2.2,0.097,-0.7,1.4,0.7,0.8,,goodwjo01
321,Jordan Hall,21.0,SAS,SF,9.0,0.0,83.0,5.5,0.438,0.536,0.321,3.8,12.3,7.9,17.0,0.6,0.0,18.0,19.4,-0.1,0.0,-0.1,-0.077,-4.7,-2.9,-7.6,-0.1,,halljo02
322,Jordan McLaughlin,26.0,MIN,PG,43.0,0.0,678.0,11.8,0.526,0.538,0.124,2.5,7.6,5.1,27.4,2.2,0.5,17.7,11.7,0.7,0.6,1.3,0.094,-1.3,0.6,-0.7,0.2,,mclaujo01
323,Jordan Nwora,24.0,IND,SF,24.0,11.0,591.0,14.4,0.586,0.44,0.173,4.1,16.9,10.5,12.6,1.0,1.0,10.7,21.2,0.5,0.3,0.8,0.064,0.4,-2.2,-1.8,0.0,,nworajo01
324,Jordan Nwora,24.0,MIL,SF,38.0,3.0,597.0,10.0,0.53,0.518,0.218,5.3,14.8,10.2,8.4,1.0,1.0,13.6,17.6,0.0,0.7,0.7,0.057,-2.0,-0.4,-2.4,0.0,,nworajo01
325,Jordan Nwora,24.0,2TM,SF,62.0,14.0,1188.0,12.2,0.561,0.474,0.193,4.7,15.8,10.4,10.5,1.0,1.0,12.0,19.4,0.5,1.0,1.5,0.06,-0.8,-1.3,-2.1,0.0,,nworajo01
326,Jordan Poole,23.0,GSW,PG,82.0,43.0,2458.0,14.6,0.573,0.498,0.325,1.5,8.5,5.0,22.5,1.2,0.8,14.7,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,,poolejo01
327,Jordan Schakel,24.0,WAS,SF,2.0,0.0,6.0,24.3,0.75,0.5,0.0,0.0,0.0,0.0,23.5,8.1,0.0,0.0,14.5,0.0,0.0,0.0,0.314,7.7,9.3,17.0,0.0,,schakjo01
328,Jose Alvarado,24.0,NOP,PG,61.0,10.0,1310.0,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,,alvarjo01
329,Josh Christopher,21.0,HOU,SG,64.0,2.0,786.0,11.5,0.523,0.271,0.182,2.8,7.2,5.0,14.3,2.0,1.9,14.4,21.9,-0.3,0.3,0.0,-0.001,-3.0,-1.4,-4.3,-0.5,,chrisjo01
330,Josh Giddey,20.0,OKC,PF,76.0,76.0,2367.0,17.1,0.533,0.209,0.13,6.6,20.9,13.6,29.9,1.1,1.2,15.1,24.6,1.3,2.7,4.0,0.081,1.5,-0.3,1.2,1.9,,giddejo01
331,Josh Green,22.0,DAL,SG,60.0,21.0,1539.0,11.2,0.645,0.442,0.246,4.1,9.7,6.9,9.7,1.4,0.3,14.5,14.6,1.7,0.9,2.6,0.082,-1.9,-0.6,-2.4,-0.2,,greenjo02
332,Josh Hart,27.0,POR,SF,51.0,51.0,1704.0,12.7,0.586,0.309,0.328,6.4,21.9,14.1,16.0,1.5,0.5,16.0,12.6,2.0,1.2,3.2,0.091,-0.9,0.7,-0.2,0.8,,hartjo01
333,Josh Hart,27.0,NYK,SF,25.0,1.0,750.0,17.1,0.703,0.331,0.363,6.9,19.0,12.9,16.2,2.2,1.5,17.3,12.6,1.8,1.0,2.8,0.179,1.4,2.0,3.4,1.0,,hartjo01
334,Josh Hart,27.0,2TM,SF,76.0,52.0,2454.0,14.1,0.622,0.315,0.338,6.5,21.0,13.7,16.1,1.8,0.8,16.4,12.6,3.8,2.2,6.0,0.118,-0.2,1.1,0.9,1.8,,hartjo01
335,Josh Minott,20.0,MIN,SF,15.0,0.0,96.0,17.9,0.582,0.167,0.222,5.9,22.9,14.6,7.5,2.0,5.4,7.1,18.9,0.1,0.2,0.3,0.146,-1.9,0.4,-1.6,0.0,,minotjo01
336,Josh Okogie,24.0,PHO,SG,72.0,26.0,1350.0,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2.0,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,,okogijo01
337,Josh Richardson,29.0,NOP,SG,23.0,4.0,533.0,9.9,0.55,0.581,0.142,2.3,9.6,6.0,9.2,2.6,1.6,12.8,14.5,0.1,0.7,0.8,0.071,-2.9,1.5,-1.3,0.1,,richajo01
338,Josh Richardson,29.0,2TM,SG,65.0,10.0,1530.0,12.3,0.555,0.529,0.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,0.055,-1.0,-0.1,-1.2,0.3,,richajo01
339,Josh Richardson,29.0,SAS,SG,42.0,6.0,997.0,13.6,0.556,0.51,0.148,3.2,10.1,6.5,19.3,1.9,0.9,12.7,20.5,0.6,0.4,1.0,0.047,-0.1,-1.0,-1.1,0.2,,richajo01
340,Joshua Primo,20.0,SAS,SG,4.0,0.0,93.0,6.1,0.467,0.462,0.346,2.3,13.4,7.6,24.4,0.5,1.8,26.9,18.2,-0.2,0.0,-0.1,-0.073,-4.7,-1.6,-6.3,-0.1,,primojo01
341,Jrue Holiday,32.0,MIL,PG,67.0,65.0,2183.0,19.2,0.586,0.402,0.173,3.9,12.0,8.1,34.4,1.7,0.9,15.2,25.0,3.9,2.8,6.7,0.148,3.0,0.1,3.1,2.8,DPOY-7AS,holidjr01
342,Juan Toscano-Anderson,29.0,UTA,SF,22.0,2.0,335.0,6.9,0.457,0.299,0.117,4.6,15.6,10.2,15.2,0.9,0.8,17.4,12.2,-0.1,0.2,0.1,0.019,-4.7,0.4,-4.3,-0.2,,toscaju01
343,Juan Toscano-Anderson,29.0,LAL,SF,30.0,7.0,365.0,7.5,0.558,0.303,0.227,4.3,13.3,8.9,8.6,1.3,1.6,19.0,10.4,0.0,0.4,0.4,0.055,-4.6,1.2,-3.4,-0.1,,toscaju01
344,Juan Toscano-Anderson,29.0,2TM,SF,52.0,9.0,700.0,7.2,0.505,0.301,0.168,4.4,14.4,9.5,11.8,1.1,1.2,18.1,11.3,-0.1,0.6,0.5,0.038,-4.6,0.8,-3.8,-0.3,,toscaju01
345,Juancho Hernangómez,27.0,TOR,PF,42.0,10.0,614.0,7.6,0.504,0.588,0.14,4.6,19.1,11.3,5.2,1.3,0.9,11.0,9.4,0.1,0.6,0.7,0.053,-3.5,0.2,-3.3,-0.2,,hernaju01
346,Julian Champagnie,21.0,SAS,SF,15.0,3.0,313.0,13.8,0.609,0.633,0.133,3.4,18.1,10.5,4.6,0.8,1.3,7.5,19.3,0.3,0.1,0.4,0.067,-0.3,-2.7,-3.0,-0.1,,champju02
347,Julian Champagnie,21.0,PHI,SF,2.0,0.0,7.0,-3.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,12.8,0.0,0.0,0.0,-0.214,-12.0,-1.5,-13.5,0.0,,champju02
348,Julian Champagnie,21.0,2TM,SF,17.0,3.0,320.0,13.4,0.6,0.631,0.131,3.3,17.7,10.2,4.5,0.9,1.3,7.4,19.2,0.3,0.1,0.4,0.061,-0.6,-2.7,-3.3,-0.1,,champju02
349,Julius Randle,28.0,NYK,PF,77.0,77.0,2737.0,20.3,0.581,0.444,0.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,5.0,3.1,8.1,0.142,3.9,-0.2,3.7,3.9,CPOY-14ASNBA3,randlju01
350,Justin Champagnie,21.0,2TM,SF,5.0,0.0,34.0,10.3,0.367,0.333,0.0,9.6,17.1,13.1,16.3,1.4,0.0,0.0,19.2,0.0,0.0,0.0,0.009,-5.1,-2.8,-7.9,-0.1,,champju01
351,Justin Champagnie,21.0,BOS,SF,2.0,0.0,23.0,1.5,0.208,0.417,0.0,9.6,9.3,9.5,16.7,2.1,0.0,0.0,22.8,-0.1,0.0,-0.1,-0.145,-10.5,-5.1,-15.5,-0.1,,champju01
352,Justin Champagnie,21.0,TOR,SF,3.0,0.0,11.0,28.9,1.0,0.0,0.0,9.6,33.3,20.6,15.3,0.0,0.0,0.0,11.6,0.1,0.0,0.1,0.332,6.1,1.9,8.1,0.0,,champju01
353,Justin Holiday,33.0,2TM,SF,46.0,2.0,706.0,6.6,0.494,0.701,0.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,0.008,-3.7,-0.1,-3.9,-0.3,,holidju01
354,Justin Holiday,33.0,ATL,SF,28.0,0.0,411.0,6.1,0.504,0.696,0.0,0.5,5.7,3.1,7.6,0.6,2.1,8.8,14.0,-0.1,0.2,0.1,0.007,-3.1,-0.6,-3.7,-0.2,,holidju01
355,Justin Holiday,33.0,DAL,SF,18.0,2.0,295.0,7.4,0.479,0.709,0.101,1.2,11.6,6.3,7.5,2.4,2.7,10.8,14.2,-0.3,0.3,0.1,0.009,-4.6,0.5,-4.1,-0.2,,holidju01
356,Justin Jackson,27.0,BOS,SF,23.0,0.0,107.0,6.3,0.359,0.741,0.074,2.1,15.1,8.7,10.5,1.8,3.2,6.7,12.2,-0.1,0.2,0.1,0.025,-4.2,1.6,-2.6,0.0,,jacksju01
357,Justin Minaya,23.0,POR,SF,4.0,0.0,89.0,4.0,0.363,0.522,0.043,3.8,15.6,9.7,5.9,1.1,5.0,14.6,13.4,-0.2,0.1,-0.1,-0.067,-7.2,-1.9,-9.0,-0.2,,minayju01
358,Justise Winslow,26.0,POR,PF,29.0,11.0,776.0,9.3,0.466,0.227,0.141,7.2,14.3,10.7,17.2,1.9,1.3,17.0,14.2,-0.1,0.5,0.4,0.022,-3.4,0.6,-2.8,-0.2,,winslju01
359,Jusuf Nurkić,28.0,POR,C,52.0,52.0,1391.0,17.3,0.589,0.236,0.38,9.3,29.7,19.5,16.4,1.5,2.8,16.8,22.1,1.2,1.5,2.7,0.092,-0.6,0.7,0.1,0.7,,nurkiju01
360,KJ Martin,22.0,HOU,SF,82.0,49.0,2292.0,15.4,0.635,0.3,0.308,6.0,15.8,10.8,8.1,0.9,1.3,10.0,16.4,4.2,0.7,4.9,0.103,0.6,-1.3,-0.7,0.7,,martike04
361,KZ Okpala,23.0,SAC,PF,35.0,3.0,248.0,6.2,0.554,0.553,0.211,3.2,12.4,7.8,6.3,1.4,2.5,14.4,8.4,0.1,0.2,0.3,0.057,-4.3,1.1,-3.2,-0.1,,okpalkz01
362,Kai Jones,22.0,CHO,C,46.0,0.0,550.0,10.8,0.597,0.158,0.217,7.0,17.0,11.9,3.7,1.5,4.7,19.1,12.4,0.0,0.7,0.7,0.062,-4.8,0.8,-4.0,-0.3,,joneska01
363,Karl-Anthony Towns,27.0,MIN,PF,29.0,29.0,957.0,18.8,0.618,0.383,0.315,5.7,21.6,13.8,22.0,1.0,1.5,15.0,25.6,1.5,1.1,2.7,0.133,2.1,0.9,3.0,1.2,,townska01
